#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2854 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:P dur:2 cpbdur:2 q:45.69 aq:43.87 tex:29581 mv:19552 misc:6819 imb:1179 pmb:1470 smb:5511 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:45.65 aq:44.30 tex:32185 mv:17757 misc:6354 imb:1112 pmb:1286 smb:5762 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:45.49 aq:43.70 tex:43075 mv:23090 misc:7075 imb:1957 pmb:1338 smb:4865 d:- ref:0 ;
in:37 out:36 type:P dur:2 cpbdur:2 q:45.37 aq:43.41 tex:60513 mv:30811 misc:7012 imb:2655 pmb:1521 smb:3984 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:45.43 aq:46.63 tex:11454 mv:14504 misc:5466 imb:315 pmb:1333 smb:6512 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:45.02 aq:43.46 tex:76235 mv:30248 misc:5029 imb:4063 pmb:795 smb:3302 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:45.19 aq:45.10 tex:48190 mv:30482 misc:6440 imb:773 pmb:2445 smb:4942 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:45.28 aq:47.90 tex:8465 mv:9988 misc:4923 imb:114 pmb:1233 smb:6813 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:45.11 aq:46.77 tex:15582 mv:14263 misc:5499 imb:266 pmb:1569 smb:6325 d:- ref:0 ;
in:42 out:42 type:I dur:2 cpbdur:2 q:41.38 aq:38.05 tex:149845 mv:77886 misc:381 imb:8160 pmb:0 smb:0 d:- ref:;
in:45 out:43 type:P dur:2 cpbdur:2 q:44.76 aq:43.01 tex:110038 mv:36168 misc:5466 imb:3274 pmb:1519 smb:3367 d:- ref:0 ;
